Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names
Sh2-101;HII;19:59:57.56;+35:17:27.5;Cyg;20;;;;;;;;;;;;;;;;;;;;;;;Tulip Nebula
Sh2-102;HII;20:31:47.10;+30:36:18.3;Cyg;40;;;;;;;;;;;;;;;;;;;;;;;
Sh2-103;HII;20:50:32.50;+30:55:24.1;Cyg;210;;;;;;;;;;;;;;;;;;;;;;;
Sh2-104;HII;20:17:45.17;+36:44:39.8;Cyg;7;;;;;;;;;;;;;;;;;;;;;;;
Sh2-105;HII;20:12:02.82;+38:20:58.5;Cyg;18;;;;;;;;;;;;;;;;;;;;;;;
Sh2-106;HII;20:27:27.71;+37:23:49.2;Cyg;3;;;;;;;;;;;;;;;;;;;;;;;
Sh2-107;HII;20:42:46.86;+36:20:33.9;Cyg;5;;;;;;;;;;;;;;;;;;;;;;;
Sh2-108;HII;20:22:35.52;+40:15:15.2;Cyg;180;;;;;;;;;;;;;;;;;;;;;;;
Sh2-109;HII;20:33:38.50;+40:20:32.6;Cyg;1080;;;;;;;;;;;;;;;;;;;;;;;
Sh2-110;HII;21:20:48.89;+32:27:28.0;Cyg;50;;;;;;;;;;;;;;;;;;;;;;;
Sh2-111;HII;21:41:53.32;+30:06:20.2;Cyg;90;;;;;;;;;;;;;;;;;;;;;;;
Sh2-112;HII;20:33:50.40;+45:39:35.0;Cyg;15;;;;;;;;;;;;;;;;;;;;;;;
Sh2-113;HII;21:20:48.21;+38:05:28.5;Cyg;15;;;;;;;;;;;;;;;;;;;;;;;
Sh2-114;HII;21:21:10.84;+38:42:30.7;Cyg;9;;;;;;;;;;;;;;;;;;;;;;;
Sh2-115;HII;20:34:34.04;+46:52:40.3;Cyg;50;;;;;;;;;;;;;;;;;;;;;;;
Sh2-116;HII;20:32:19.29;+47:21:25.0;Cyg;2;;;;;;;;;;;;;;;;;;;;;;;
Sh2-117;HII;20:58:46.60;+44:19:18.4;Cyg;240;;;;;;;;;;;;;;;;;;;;;;;
Sh2-118;HII;21:37:01.16;+40:12:56.3;Cyg;480;;;;;;;;;;;;;;;;;;;;;;;
Sh2-119;HII;21:18:25.82;+43:56:15.8;Cyg;160;;;;;;;;;;;;;;;;;;;;;;;
Sh2-120;HII;21:03:47.15;+49:52:50.3;Cyg;1;;;;;;;;;;;;;;;;;;;;;;;
Sh2-121;HII;21:05:12.74;+49:38:58.9;Cyg;1;;;;;;;;;;;;;;;;;;;;;;;
Sh2-122;HII;23:08:47.31;+14:55:29.4;Peg;40;;;;;;;;;;;;;;;;;;;;;;;
Sh2-123;HII;21:42:22.82;+44:32:23.9;Cyg;13;;;;;;;;;;;;;;;;;;;;;;;
Sh2-124;HII;21:38:21.75;+50:21:04.3;Cyg;70;;;;;;;;;;;;;;;;;;;;;;;
Sh2-125;HII;21:53:33.21;+47:16:17.8;Cyg;9;;;;;;;;;;;;;;;;;;;;;;;
Sh2-126;HII;22:33:27.53;+38:34:55.6;Lac;160;;;;;;;;;;;;;;;;;;;;;;;
Sh2-127;HII;21:28:41.95;+54:37:14.4;Cyg;2;;;;;;;;;;;;;;;;;;;;;;;
Sh2-128;HII;21:32:08.87;+55:51:33.0;Cep;1;;;;;;;;;;;;;;;;;;;;;;;
Sh2-129;HII;21:11:44.97;+59:57:40.4;Cep;140;;;;;;;;;;;;;;;;;;;;;;;
Sh2-130;HII;20:42:59.71;+63:13:42.2;Cep;3;;;;;;;;;;;;;;;;;;;;;;;
Sh2-131;HII;21:39:00.36;+57:29:08.8;Cep;170;;;;;;;;;;;;;;;;;;;;;;;
Sh2-132;HII;22:18:47.71;+56:08:04.8;Cep;90;;;;;;;;;;;;;;;;;;;;;;;
Sh2-133;HII;21:29:-0.00;+64:18:18.4;Cep;80;;;;;;;;;;;;;;;;;;;;;;;
Sh2-134;HII;22:11:29.92;+59:24:36.8;Cep;160;;;;;;;;;;;;;;;;;;;;;;;
Sh2-135;HII;22:22:11.68;+58:44:17.7;Cep;15;;;;;;;;;;;;;;;;;;;;;;;
Sh2-136;HII;21:16:29.74;+68:15:11.0;Cep;5;;;;;;;;;;;;;;;;;;;;;;;
Sh2-137;HII;21:57:07.21;+64:41:36.7;Cep;90;;;;;;;;;;;;;;;;;;;;;;;
Sh2-138;HII;22:32:39.57;+58:28:54.1;Cep;1;;;;;;;;;;;;;;;;;;;;;;;
Sh2-139;HII;22:35:00.41;+58:13:01.7;Cep;10;;;;;;;;;;;;;;;;;;;;;;;
Sh2-140;HII;22:19:07.88;+63:17:07.0;Cep;30;;;;;;;;;;;;;;;;;;;;;;;
Sh2-141;HII;22:28:30.50;+61:38:40.4;Cep;5;;;;;;;;;;;;;;;;;;;;;;;
Sh2-142;HII;22:47:35.76;+58:03:39.3;Cep;30;;;;;;;;;;;;;;;;;;;;;;;
Sh2-143;HII;22:50:14.94;+57:42:46.5;Cep;4;;;;;;;;;;;;;;;;;;;;;;;
Sh2-144;HII;22:44:52.20;+59:53:31.8;Cep;4;;;;;;;;;;;;;;;;;;;;;;;
Sh2-145;HII;22:25:33.67;+64:18:30.5;Cep;90;;;;;;;;;;;;;;;;;;;;;;;
Sh2-146;HII;22:49:26.37;+59:55:44.5;Cep;2;;;;;;;;;;;;;;;;;;;;;;;
Sh2-147;HII;22:55:29.73;+58:28:00.1;Cep;2;;;;;;;;;;;;;;;;;;;;;;;
Sh2-148;HII;22:56:12.24;+58:31:01.9;Cep;2;;;;;;;;;;;;;;;;;;;;;;;
Sh2-149;HII;22:56:24.39;+58:32:02.4;Cep;1;;;;;;;;;;;;;;;;;;;;;;;
Sh2-150;HII;22:31:11.98;+65:06:50.0;Cep;40;;;;;;;;;;;;;;;;;;;;;;;
Sh2-151;HII;23:03:03.38;+57:04:17.8;Cas;20;;;;;;;;;;;;;;;;;;;;;;;
Sh2-152;HII;22:58:37.81;+58:47:07.7;Cas;2;;;;;;;;;;;;;;;;;;;;;;;
Sh2-153;HII;22:59:14.48;+58:44:09.2;Cas;5;;;;;;;;;;;;;;;;;;;;;;;
Sh2-154;HII;22:51:24.66;+61:10:49.8;Cep;60;;;;;;;;;;;;;;;;;;;;;;;
Sh2-155;HII;22:56:43.81;+62:37:03.4;Cep;60;;;;;;;;;;;;;;;;;;;;;;;Cave Nebula
Sh2-156;HII;23:05:10.58;+60:15:22.5;Cep;2;;;;;;;;;;;;;;;;;;;;;;;
Sh2-157;HII;23:16:03.59;+60:02:43.6;Cas;90;;;;;;;;;;;;;;;;;;;;;;;
Sh2-158;HII;23:13:40.33;+61:30:39.4;Cep;10;;;;;;;;;;;;;;;;;;;;;;;
Sh2-159;HII;23:15:43.17;+61:08:43.0;Cas;7;;;;;;;;;;;;;;;;;;;;;;;
Sh2-160;HII;23:05:47.72;+64:40:24.0;Cep;80;;;;;;;;;;;;;;;;;;;;;;;
Sh2-161;HII;23:15:29.49;+61:51:42.6;Cas;55;;;;;;;;;;;;;;;;;;;;;;;
Sh2-162;HII;23:20:42.16;+61:11:51.2;Cas;40;;;;;;;;;;;;;;;;;;;;;;;
Sh2-163;HII;23:33:19.62;+60:47:08.0;Cas;10;;;;;;;;;;;;;;;;;;;;;;;
Sh2-164;HII;23:38:25.59;+59:58:13.1;Cas;3;;;;;;;;;;;;;;;;;;;;;;;
Sh2-165;HII;23:39:49.10;+61:56:14.3;Cas;10;;;;;;;;;;;;;;;;;;;;;;;
Sh2-166;HII;23:42:10.46;+60:58:16.2;Cas;10;;;;;;;;;;;;;;;;;;;;;;;
Sh2-167;HII;23:35:22.49;+64:51:10.2;Cep;2;;;;;;;;;;;;;;;;;;;;;;;
Sh2-168;HII;23:53:03.84;+60:28:22.3;Cas;7;;;;;;;;;;;;;;;;;;;;;;;
Sh2-169;HII;23:53:58.80;+60:22:22.6;Cas;5;;;;;;;;;;;;;;;;;;;;;;;
Sh2-170;HII;00:01:42.39;+64:37:24.0;Cas;20;;;;;;;;;;;;;;;;;;;;;;;
Sh2-171;HII;00:04:40.27;+67:09:23.9;Cep;180;;;;;;;;;;;;;;;;;;;;;;;
Sh2-172;HII;00:15:32.94;+61:15:20.8;Cas;1;;;;;;;;;;;;;;;;;;;;;;;
Sh2-173;HII;00:21:51.90;+61:44:17.0;Cas;30;;;;;;;;;;;;;;;;;;;;;;;
Sh2-174;HII;23:46:49.28;+80:56:19.5;Cep;10;;;;;;;;;;;;;;;;;;;;;;;
Sh2-175;HII;00:27:19.22;+64:42:12.5;Cas;2;;;;;;;;;;;;;;;;;;;;;;;
Sh2-176;HII;00:31:39.28;+57:17:08.1;Cas;10;;;;;;;;;;;;;;;;;;;;;;;
Sh2-177;HII;00:31:33.09;+62:28:08.3;Cas;40;;;;;;;;;;;;;;;;;;;;;;;
Sh2-178;HII;22:18:56.57;+87:45:41.4;UMi;420;;;;;;;;;;;;;;;;;;;;;;;
Sh2-179;HII;00:40:25.40;+62:51:57.2;Cas;1;;;;;;;;;;;;;;;;;;;;;;;
Sh2-180;HII;00:48:46.69;+62:55:44.1;Cas;15;;;;;;;;;;;;;;;;;;;;;;;
Sh2-181;HII;00:49:16.67;+65:12:43.3;Cas;15;;;;;;;;;;;;;;;;;;;;;;;
Sh2-182;HII;00:50:16.67;+64:44:41.5;Cas;2;;;;;;;;;;;;;;;;;;;;;;;
Sh2-183;HII;00:53:59.81;+65:42:34.7;Cas;35;;;;;;;;;;;;;;;;;;;;;;;
Sh2-184;HII;00:52:50.77;+56:36:36.6;Cas;40;;;;;;;;;;;;;;;;;;;;;;;
Sh2-185;HII;01:00:00.02;+60:59:22.4;Cas;120;;;;;;;;;;;;;;;;;;;;;;;
Sh2-186;HII;01:08:51.11;+63:08:02.2;Cas;1;;;;;;;;;;;;;;;;;;;;;;;
Sh2-187;HII;01:23:07.77;+61:51:23.5;Cas;10;;;;;;;;;;;;;;;;;;;;;;;
Sh2-188;HII;01:30:39.35;+58:21:59.9;Cas;9;;;;;;;;;;;;;;;;;;;;;;;
Sh2-189;HII;02:12:08.53;+64:10:17.7;Cas;2;;;;;;;;;;;;;;;;;;;;;;;
