Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names
B72;DrkN;17:23:35.95;-23:37:17.4;Oph;;;;;;;;;;;;;;;;;;;;;;;;Snake Nebula
B73;DrkN;17:24:08.28;-24:17:11.8;Oph;1.0;;;;;;;;;;;;;;;;;;;;;;;
B74;DrkN;17:25:08.04;-24:12:01.1;Oph;;;;;;;;;;;;;;;;;;;;;;;;
B75;DrkN;17:25:17.69;-22:01:58.4;Oph;;;;;;;;;;;;;;;;;;;;;;;;
B76;DrkN;17:25:38.81;-24:24:55.4;Oph;;;;;;;;;;;;;;;;;;;;;;;;
B77;DrkN;17:28:37.06;-23:51:23.4;Oph;60.0;;;;;;;;;;;;;;;;;;;;;;;
B78;DrkN;17:32:43.34;-25:35:39.5;Oph;180.0;;;;;;;;;;;;;;;;;;;;;;;
B79;DrkN;17:37:23.23;-19:36:46.8;Oph;30.0;;;;;;;;;;;;;;;;;;;;;;;
B80;DrkN;17:37:42.74;-21:16:44.0;Oph;2.0;;;;;;;;;;;;;;;;;;;;;;;
B81;DrkN;17:38:32.76;-23:55:35.8;Oph;;;;;;;;;;;;;;;;;;;;;;;;
B82;DrkN;17:38:37.25;-23:46:34.7;Oph;;;;;;;;;;;;;;;;;;;;;;;;
B83;DrkN;17:38:58.66;-24:10:31.1;Oph;7.0;;;;;;;;;;;;;;;;;;;;;;;
B83a;DrkN;17:45:18.77;-20:00:20.9;Sgr;4.0;;;;;;;;;;;;;;;;;;;;;;;
B84;DrkN;17:46:25.61;-20:15:08.6;Sgr;;;;;;;;;;;;;;;;;;;;;;;;
B84a;DrkN;17:57:37.39;-17:40:05.9;Sgr;16.0;;;;;;;;;;;;;;;;;;;;;;;
B85;DrkN;18:02:25.20;-23:01:14.9;Sgr;;;;;;;;;;;;;;;;;;;;;;;;
B86;DrkN;18:03:01.56;-27:52:09.8;Sgr;5.0;;;;;;;;;;;;;;;;;;;;;;;Ink Spot Nebula
B87;DrkN;18:04:10.66;-32:29:58.9;Sgr;;;;;;;;;;;;;;;;;;;;;;;;
B88;DrkN;18:04:35.02;-24:06:51.8;Sgr;2.0;;;;;;;;;;;;;;;;;;;;;;;
B89;DrkN;18:04:59.88;-24:21:47.2;Sgr;0.5;;;;;;;;;;;;;;;;;;;;;;;
B90;DrkN;18:10:14.11;-28:16:51.2;Sgr;3.0;;;;;;;;;;;;;;;;;;;;;;;
B91;DrkN;18:10:07.56;-23:41:51.0;Sgr;5.0;;;;;;;;;;;;;;;;;;;;;;;
B92;DrkN;18:15:35.23;-18:13:49.8;Sgr;12.0;;;;;;;;;;;;;;;;;;;;;;;
B93;DrkN;18:16:53.69;-18:03:35.3;Sgr;2.0;;;;;;;;;;;;;;;;;;;;;;;
B94;DrkN;18:25:53.64;-10:39:55.1;Sct;15.0;;;;;;;;;;;;;;;;;;;;;;;
B95;DrkN;18:25:35.93;-11:44:58.6;Sct;30.0;;;;;;;;;;;;;;;;;;;;;;;
B96;DrkN;18:26:24.55;-10:17:49.6;Sct;;;;;;;;;;;;;;;;;;;;;;;;
B97;DrkN;18:29:05.40;-09:55:20.3;Sct;60.0;;;;;;;;;;;;;;;;;;;;;;;
B98;DrkN;18:33:16.42;-26:03:39.6;Sgr;3.0;;;;;;;;;;;;;;;;;;;;;;;
B99;DrkN;18:33:17.57;-21:28:37.9;Sgr;7.0;;;;;;;;;;;;;;;;;;;;;;;
B100;DrkN;18:32:41.04;-09:08:40.9;Sct;16.0;;;;;;;;;;;;;;;;;;;;;;;
B101;DrkN;18:32:40.06;-08:48:41.0;Sct;8.0;;;;;;;;;;;;;;;;;;;;;;;
B102;DrkN;18:37:41.81;-13:44:48.1;Sct;5.0;;;;;;;;;;;;;;;;;;;;;;;
B103;DrkN;18:39:25.70;-06:40:27.5;Sct;4.0;;;;;;;;;;;;;;;;;;;;;;;
B104;DrkN;18:47:19.44;-04:32:01.7;Sct;16.0;;;;;;;;;;;;;;;;;;;;;;;
B105;DrkN;18:47:44.33;-06:54:58.0;Sct;0.5;;;;;;;;;;;;;;;;;;;;;;;
B106;DrkN;18:48:49.99;-05:04:45.8;Sct;2.0;;;;;;;;;;;;;;;;;;;;;;;
B107;DrkN;18:49:30.79;-05:00:38.5;Sct;5.0;;;;;;;;;;;;;;;;;;;;;;;
B108;DrkN;18:49:34.54;-06:18:38.2;Sct;3.0;;;;;;;;;;;;;;;;;;;;;;;
B109;DrkN;18:49:36.17;-07:33:38.2;Sct;0.7;;;;;;;;;;;;;;;;;;;;;;;
B110;DrkN;18:50:08.16;-04:47:31.6;Sct;11.0;;;;;;;;;;;;;;;;;;;;;;;
B111;DrkN;18:50:38.64;-04:57:26.3;Sct;120.0;;;;;;;;;;;;;;;;;;;;;;;
B112;DrkN;18:51:08.57;-06:40:21.4;Sct;18.0;;;;;;;;;;;;;;;;;;;;;;;
B113;DrkN;18:51:24.79;-04:19:17.8;Sct;16.0;;;;;;;;;;;;;;;;;;;;;;;
B114;DrkN;18:53:11.35;-06:56:59.6;Sct;6.0;;;;;;;;;;;;;;;;;;;;;;;
B115;DrkN;18:53:19.51;-06:39:58.0;Sct;6.0;;;;;;;;;;;;;;;;;;;;;;;
B116;DrkN;18:53:33.00;-07:10:55.9;Sct;;;;;;;;;;;;;;;;;;;;;;;;
B117;DrkN;18:53:43.68;-07:24:54.0;Sct;1.0;;;;;;;;;;;;;;;;;;;;;;;
B117a;DrkN;18:53:42.29;-04:50:53.5;Sct;7.0;;;;;;;;;;;;;;;;;;;;;;;
B118;DrkN;18:53:55.78;-07:26:51.7;Sct;2.0;;;;;;;;;;;;;;;;;;;;;;;
B119;DrkN;18:54:36.41;-04:32:43.8;Sct;;;;;;;;;;;;;;;;;;;;;;;;
B119a;DrkN;18:54:39.22;-05:10:43.7;Sct;30.0;;;;;;;;;;;;;;;;;;;;;;;
B120;DrkN;18:54:53.54;-04:35:40.9;Sct;;;;;;;;;;;;;;;;;;;;;;;;
B121;DrkN;18:55:25.58;-04:36:35.3;Sct;;;;;;;;;;;;;;;;;;;;;;;;
B122;DrkN;18:56:48.98;-04:45:20.5;Sct;4.0;;;;;;;;;;;;;;;;;;;;;;;
B123;DrkN;18:57:39.89;-04:43:11.3;Sct;1.5;;;;;;;;;;;;;;;;;;;;;;;
B124;DrkN;18:57:41.83;-04:21:10.8;Sct;3.0;;;;;;;;;;;;;;;;;;;;;;;
B125;DrkN;18:58:21.91;-04:23:03.8;Sct;9.0;;;;;;;;;;;;;;;;;;;;;;;
B126;DrkN;18:59:02.33;-04:31:56.6;Aql;8.0;;;;;;;;;;;;;;;;;;;;;;;
B127;DrkN;19:01:31.90;-05:26:30.5;Aql;4.5;;;;;;;;;;;;;;;;;;;;;;;
B128;DrkN;19:01:40.42;-04:34:28.9;Aql;10.0;;;;;;;;;;;;;;;;;;;;;;;
B129;DrkN;19:02:04.51;-05:18:24.8;Aql;5.0;;;;;;;;;;;;;;;;;;;;;;;
B130;DrkN;19:01:56.26;-05:34:26.4;Aql;7.0;;;;;;;;;;;;;;;;;;;;;;;
B131;DrkN;19:02:15.84;-04:22:22.4;Aql;3.0;;;;;;;;;;;;;;;;;;;;;;;
B132;DrkN;19:04:27.98;-04:25:59.2;Aql;16.0;;;;;;;;;;;;;;;;;;;;;;;
B133;DrkN;19:06:12.96;-06:53:41.6;Aql;;;;;;;;;;;;;;;;;;;;;;;;
B134;DrkN;19:06:53.09;-06:14:34.4;Aql;6.0;;;;;;;;;;;;;;;;;;;;;;;
B135;DrkN;19:07:32.52;-03:55:26.8;Aql;13.0;;;;;;;;;;;;;;;;;;;;;;;
B136;DrkN;19:08:49.73;-04:00:13.3;Aql;8.0;;;;;;;;;;;;;;;;;;;;;;;
B137;DrkN;19:16:00.24;-01:19:57.7;Aql;;;;;;;;;;;;;;;;;;;;;;;;
B138;DrkN;19:16:23.95;+00:13:06.6;Aql;180.0;;;;;;;;;;;;;;;;;;;;;;;
B139;DrkN;19:18:00.46;-01:24:37.1;Aql;;;;;;;;;;;;;;;;;;;;;;;;
B140;DrkN;19:19:49.13;+05:13:43.3;Aql;60.0;;;;;;;;;;;;;;;;;;;;;;;
B141;DrkN;19:20:11.33;+01:53:46.3;Aql;20.0;;;;;;;;;;;;;;;;;;;;;;;
B142;DrkN;19:39:41.35;+10:31:06.2;Aql;40.0;;;;;;;;;;;;;;;;;;;;;;;
B143;DrkN;19:41:25.10;+11:00:23.4;Aql;30.0;;;;;;;;;;;;;;;;;;;;;;;
B144;DrkN;19:58:41.40;+35:20:17.9;Cyg;270.0;;;;;;;;;;;;;;;;;;;;;;;
B145;DrkN;20:02:49.37;+37:40:57.7;Cyg;45.0;;;;;;;;;;;;;;;;;;;;;;;
B146;DrkN;20:03:29.06;+36:01:03.7;Cyg;;;;;;;;;;;;;;;;;;;;;;;;
B147;DrkN;20:06:50.38;+35:22:34.7;Cyg;11.0;;;;;;;;;;;;;;;;;;;;;;;
B148;DrkN;20:47:42.96;+59:37:42.2;Cep;3.0;;;;;;;;;;;;;;;;;;;;;;;
B149;DrkN;20:49:01.85;+59:31:53.0;Cep;2.0;;;;;;;;;;;;;;;;;;;;;;;
B150;DrkN;20:50:39.74;+60:18:06.5;Cep;60.0;;;;;;;;;;;;;;;;;;;;;;;
B151;DrkN;21:08:13.70;+56:19:20.6;Cep;60.0;;;;;;;;;;;;;;;;;;;;;;;
B152;DrkN;21:14:29.62;+61:44:08.9;Cep;9.0;;;;;;;;;;;;;;;;;;;;;;;
B153;DrkN;21:21:03.31;+56:26:53.5;Cep;60.0;;;;;;;;;;;;;;;;;;;;;;;
B154;DrkN;21:21:22.56;+56:36:55.8;Cep;8.0;;;;;;;;;;;;;;;;;;;;;;;
B155;DrkN;21:32:08.52;+44:58:06.2;Cyg;13.0;;;;;;;;;;;;;;;;;;;;;;;
B156;DrkN;21:33:59.40;+45:35:18.2;Cyg;8.0;;;;;;;;;;;;;;;;;;;;;;;
B157;DrkN;21:33:41.59;+54:40:18.5;Cyg;5.0;;;;;;;;;;;;;;;;;;;;;;;
B158;DrkN;21:37:13.61;+43:24:38.9;Cyg;3.0;;;;;;;;;;;;;;;;;;;;;;;
B159;DrkN;21:38:22.82;+43:13:46.6;Cyg;25.0;;;;;;;;;;;;;;;;;;;;;;;
B160;DrkN;21:37:58.97;+56:13:46.6;Cep;31.0;;;;;;;;;;;;;;;;;;;;;;;
B161;DrkN;21:40:22.20;+57:49:02.3;Cep;3.0;;;;;;;;;;;;;;;;;;;;;;;
