Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names
Arp 109;G;15:47:50.70;+69:28:10.0;Dra;1.2;0.7;;;15.0;;;;;;;;;;;;;;;;;;UGC 10053,UGC 10053;
Arp 110;G;22:54:08.80;-15:14:14.0;Aqr;0.7;0.6;;;15.9;;;;;S;;;;;;;;;;;;;MCG-03-58-011;
Arp 111;G;14:01:40.70;+33:49:45.0;CVn;1.2;0.9;;;13.4;;;;;SB?;;;;;;;;;;5421;;;NGC 5421,MCG+06-31-046;
Arp 112;G;00:01:26.90;+31:26:02.0;Peg;1.2;0.9;;;13.3;;;;;SAB0^0: pec;;;;;;;;;;7805,7806;;;NGC 7805,NGC 7806;
Arp 113;G;00:18:22.40;+30:04:50.0;And;1.4;1.2;;;14.5;;;;;SA(rs)c III;;;;;;;;;;0070;;;NGC 0070;
Arp 114;G;07:32:20.00;+85:42:31.0;Cep;2.8;2.0;;;12.1;;;;;SA0;;;;;;;;;;2300;;;NGC 2300;
Arp 115;G;11:42:54.40;+26:17:21.0;Leo;0.5;0.5;;;15.8;;;;;S0+;;;;;;;;;;;;;UGC 06678B,UGC 06678C,UGC 06678A;
Arp 116;G;12:43:32.30;+11:34:55.0;Vir;2.9;2.3;;;11.4;;;;;SAB(rs)c;;;;;;;;;;4647;;;NGC 4647,MESSIER 60;
Arp 117;G;14:09:59.00;+17:41:46.0;Boo;1.3;;;;14.6;;;;;LA +;;;;;;;;;;;0982,0983;;IC 0982,IC 0983;
Arp 118;G;02:55:09.70;-00:10:40.0;Cet;;;;;13.2;;;;;SAB0-:pec/Rng;;;;;;;;;;1143,1144;;;NGC 1143,NGC 1144;
Arp 119;G;01:19:24.10;+12:26:49.0;Psc;;;;;14.7;;;;;Sdm:;;;;;;;;;;;;;UGC 00849,UGC 00849;
