Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names
WR 122-6;WR*;18:52:32.97;+00:14:26.8;;;;;;;16.91;13.62;11.78;;WC8:;;;;;;;;;;;;;SFZ12 1551-19L;
WR 122-7;WR*;18:55:44.44;+01:36:43.9;;;;;;;16.56;13.29;11.45;;WC8:;;;;;;;;;;;;;SFZ12 1563-66L;
WR 122-8;WR*;18:56:02.04;+01:36:32.9;;;;;;;17.13;14.32;12.55;;WC7:;;;;;;;;;;;;;SFZ12 1563-89L;
WR 122-9;WR*;18:56:07.90;+02:20:49.0;;;;;;;14.72;12.27;10.87;;WC7:;;;;;;;;;;;;;SFZ12 1567-51L;
WR 123;WR*;19:03:59.02;-04:19:02.0;;;;;11.60;11.12;9.52;9.28;8.92;;WN8o;;;;;;;;;;;;;HD 177230,DR3 4254678995275751808,V1402 Aql;
WR 123-1;WR*;19:08:17.97;+08:29:10.5;;;;;;;10.59;9.47;8.71;;WN6o;;;;;;;;;;;;;DR3 4307367180121252864,HDM 14;
WR 123-2;WR*;19:06:36.53;+07:29:52.40;;;;;;;14.24;12.65;11.61;;WCE, WC4:;;;;;;;;;;;;;SMG09 1613_21,SFZ12 1613-50L;
WR 123-3;WR*;19:08:38.09;+09:28:20.9;;;;;;;12.22;10.81;9.94;;WN8;;;;;;;;;;;;;DR3 4309176976263877888,MDM11 55;
WR 123-4;WR*;19:04:33.49;+06:05:18.5;;;;;;;;;;;WC8;;;;;;;;;;;;;SFZ12 1603-75L;
WR 123-5;WR*;19:10:11.53;+08:58:39.6;;;;;;;16.31;13.60;11.73;;WC7;;;;;;;;;;;;;SCB12 2w11,KSF14 1627-A6D;
WR 123-6;WR*;19:04:20.14;+06:07:52.2;;;;;;;16.13;13.63;12.16;;WN5;;;;;;;;;;;;;KSF14 1603-11AD;
WR 123-7;WR*;19:06:10.68;+07:19:13.3;;;;;;;18.41;15.07;11.93;;WC9;;;;;;;;;;;;;KSF14 1609-1C95;
WR 123-8;WR*;19:10:06.40;+09:45:25.4;;;;;;;14.73;13.44;12.62;;WN9h;;;;;;;;;;;;;DR3 4309211331708602240,KSF14 1629-14D6;
WR 124;WR*;19:11:30.87;+16:51:38.1;;;;;12.19;11.50;8.58;8.18;7.73;;WN8h;;;;;;;;;;;;;DR3 4513494205567536512,QR Sge,209 BAC;M1-67
WR 124-10;WR*;19:18:31.71;+13:43:17.9;;;;;;;14.35;12.59;11.33;;WC6:, WC6d;;;;;;;;;;;;;SFZ12 1669-24L;
WR 124-11;WR*;19:24:46.91;+17:14:25.0;;;;;;;12.65;11.19;10.25;;WN6, WN6b;;;;;;;;;;;;;DR3 4322765389497405952,SFZ12 1698-70L;
WR 124-12;WR*;19:20:50.49;+13:18:41.1;;;;;;;14.69;12.95;11.95;;WN7;;;;;;;;;;;;;WR 1667-D00;
