Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names
LDN 76;DrkN;17:37:04.78;-25:01:46.9;Oph;43.7;;;;;;;;;;;;;;;;;;;;;;;
LDN 77;DrkN;17:19:00.62;-22:15:04.7;Oph;4.2;;;;;;;;;;;;;;;;;;;;;;;
LDN 78;DrkN;18:01:09.58;-28:11:01.7;Sgr;1.9;;;;;;;;;;;;;;;;;;;;;;;
LDN 79;DrkN;17:14:59.50;-21:28:22.1;Oph;32.9;;;;;;;;;;;;;;;;;;;;;;;
LDN 80;DrkN;17:39:04.92;-25:06:38.2;Oph;4.2;;;;;;;;;;;;;;;;;;;;;;;
LDN 81;DrkN;17:25:01.78;-23:00:38.9;Oph;5.7;;;;;;;;;;;;;;;;;;;;;;;
LDN 82;DrkN;17:46:06.31;-26:01:07.7;Sgr;90.2;;;;;;;;;;;;;;;;;;;;;;;
LDN 83;DrkN;16:34:19.51;-14:16:11.6;Oph;14.2;;;;;;;;;;;;;;;;;;;;;;;
LDN 84;DrkN;17:36:04.08;-24:31:51.2;Oph;34.4;;;;;;;;;;;;;;;;;;;;;;;
LDN 85;DrkN;17:26:01.80;-23:00:34.6;Oph;11.4;;;;;;;;;;;;;;;;;;;;;;;
LDN 86;DrkN;17:21:00.62;-22:12:56.2;Oph;15.1;;;;;;;;;;;;;;;;;;;;;;;
LDN 87;DrkN;17:18:36.00;-21:48:06.5;Oph;1.9;;;;;;;;;;;;;;;;;;;;;;;
LDN 88;DrkN;17:20:30.38;-22:02:58.2;Oph;9.9;;;;;;;;;;;;;;;;;;;;;;;
LDN 89;DrkN;17:18:29.88;-21:42:06.8;Oph;4.2;;;;;;;;;;;;;;;;;;;;;;;
LDN 90;DrkN;17:39:34.58;-24:51:36.0;Oph;11.4;;;;;;;;;;;;;;;;;;;;;;;
LDN 91;DrkN;17:23:31.01;-22:27:45.4;Oph;7.6;;;;;;;;;;;;;;;;;;;;;;;
LDN 92;DrkN;17:18:59.90;-21:43:04.8;Oph;4.2;;;;;;;;;;;;;;;;;;;;;;;
LDN 93;DrkN;18:02:45.07;-27:49:54.8;Sgr;5.0;;;;;;;;;;;;;;;;;;;;;;;
LDN 94;DrkN;17:20:-0.00;-21:46:00.5;Oph;12.1;;;;;;;;;;;;;;;;;;;;;;;
LDN 95;DrkN;17:19:59.88;-21:41:00.6;Oph;6.0;;;;;;;;;;;;;;;;;;;;;;;
LDN 96;DrkN;18:08:09.79;-28:19:31.1;Sgr;10.4;;;;;;;;;;;;;;;;;;;;;;;
LDN 97;DrkN;18:07:21.58;-28:10:34.7;Sgr;6.3;;;;;;;;;;;;;;;;;;;;;;;
LDN 98;DrkN;16:35:49.18;-13:57:05.8;Oph;6.3;;;;;;;;;;;;;;;;;;;;;;;
LDN 99;DrkN;17:18:59.47;-21:23:04.9;Oph;18.0;;;;;;;;;;;;;;;;;;;;;;;
LDN 100;DrkN;17:15:58.75;-20:53:17.5;Oph;16.4;;;;;;;;;;;;;;;;;;;;;;;
LDN 101;DrkN;17:21:48.07;-21:47:52.8;Oph;2.7;;;;;;;;;;;;;;;;;;;;;;;
LDN 102;DrkN;17:22:30.19;-21:52:49.8;Oph;11.2;;;;;;;;;;;;;;;;;;;;;;;
LDN 103;DrkN;17:21:29.95;-21:42:54.0;Oph;5.7;;;;;;;;;;;;;;;;;;;;;;;
LDN 104;DrkN;17:15:58.63;-20:48:17.6;Oph;8.3;;;;;;;;;;;;;;;;;;;;;;;
LDN 105;DrkN;16:36:25.20;-13:57:03.2;Oph;1.9;;;;;;;;;;;;;;;;;;;;;;;
LDN 106;DrkN;16:36:43.20;-13:57:01.8;Oph;1.9;;;;;;;;;;;;;;;;;;;;;;;
LDN 107;DrkN;17:26:00.82;-22:17:34.4;Oph;9.1;;;;;;;;;;;;;;;;;;;;;;;
LDN 108;DrkN;18:10:09.77;-28:19:22.4;Sgr;3.3;;;;;;;;;;;;;;;;;;;;;;;
LDN 109;DrkN;17:39:03.53;-24:06:38.2;Oph;5.0;;;;;;;;;;;;;;;;;;;;;;;
LDN 110;DrkN;16:49:52.08;-16:05:07.8;Oph;35.7;;;;;;;;;;;;;;;;;;;;;;;
LDN 111;DrkN;17:15:10.03;-20:21:21.2;Oph;5.0;;;;;;;;;;;;;;;;;;;;;;;
LDN 112;DrkN;17:25:00.24;-21:52:39.0;Oph;11.1;;;;;;;;;;;;;;;;;;;;;;;
LDN 113;DrkN;17:38:33.17;-23:51:40.3;Oph;12.1;;;;;;;;;;;;;;;;;;;;;;;
LDN 114;DrkN;17:40:03.43;-24:01:33.6;Oph;42.3;;;;;;;;;;;;;;;;;;;;;;;
LDN 115;DrkN;16:53:52.87;-16:39:51.1;Oph;22.6;;;;;;;;;;;;;;;;;;;;;;;
LDN 116;DrkN;18:06:32.54;-27:29:38.4;Sgr;2.7;;;;;;;;;;;;;;;;;;;;;;;
LDN 117;DrkN;17:25:00.02;-21:42:38.9;Oph;24.9;;;;;;;;;;;;;;;;;;;;;;;
LDN 118;DrkN;16:54:52.99;-16:44:47.0;Oph;13.9;;;;;;;;;;;;;;;;;;;;;;;
LDN 119;DrkN;18:03:07.82;-26:59:53.2;Sgr;35.1;;;;;;;;;;;;;;;;;;;;;;;
LDN 120;DrkN;18:06:26.42;-27:24:38.9;Sgr;6.0;;;;;;;;;;;;;;;;;;;;;;;
LDN 121;DrkN;16:39:49.37;-14:00:49.3;Oph;7.8;;;;;;;;;;;;;;;;;;;;;;;
LDN 122;DrkN;16:55:11.02;-16:44:45.6;Oph;8.5;;;;;;;;;;;;;;;;;;;;;;;
LDN 123;DrkN;18:07:38.42;-27:24:33.5;Sgr;2.7;;;;;;;;;;;;;;;;;;;;;;;
LDN 124;DrkN;18:13:09.26;-27:59:09.2;Sgr;124.7;;;;;;;;;;;;;;;;;;;;;;;
LDN 125;DrkN;17:36:01.99;-23:01:51.2;Oph;59.2;;;;;;;;;;;;;;;;;;;;;;;
LDN 126;DrkN;17:43:03.46;-24:01:20.6;Oph;36.0;;;;;;;;;;;;;;;;;;;;;;;
LDN 127;DrkN;18:08:08.28;-27:18:31.3;Sgr;5.0;;;;;;;;;;;;;;;;;;;;;;;
LDN 128;DrkN;17:31:00.79;-22:12:13.0;Oph;54.0;;;;;;;;;;;;;;;;;;;;;;;
LDN 129;DrkN;16:54:58.49;-16:19:46.6;Oph;5.7;;;;;;;;;;;;;;;;;;;;;;;
