Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names
Abell 74;PN;21:16:52.36;+24:08:51.1;Vul;13.83;;;;;;;;;;;;;;;;;;;;;;PN G072.7-17.1,A 74,PK 72-17 1,A55 61,ARO 193,VV' 546;
Abell 75;PN;21:26:24.16;+62:53:26.5;Cep;0.93;;;;;;;;;;;;;;;;;;;;;;PN G101.8+08.7,A 75,PK 101+08 1,ARO 359;
Abell 76;PN;21:30:03.79;-02:48:29.2;Aqr;;;;;;;;;;;;;;;;;;;;;;;PN A66 76;
Abell 77;PN;21:32:10.70;+55:52:45.5;Cep;0.67;;;;;;;;;;;;;;;;;;;;;;PN G097.5+03.1,A 77,PK 97+03 1,A55 63,ARO 363,Sh 2-128,VV' 551;
Abell 78;PN;21:35:29.52;+31:41:44.5;Cyg;1.78;;;;;;;;;;;;;;;;;;;;;;PN G081.2-14.9,A 78,PK 81-14 1,A55 64,ARO 174,VV' 554;
Abell 79;PN;22:26:17.41;+54:49:40.5;Lac;0.90;;;;;;;;;;;;;;;;;;;;;;PN G102.9-02.3,A 79,PK 102-02 1,A55 65,ARO 372,VV' 562;
Abell 80;PN;22:34:45.82;+52:26:03.7;Lac;2.25;;;;;;;;;;;;;;;;;;;;;;PN G102.8-05.0,A 80,PK 102-05 1,A55 66,ARO 375,VV' 565;
Abell 81;PN;22:42:35.82;+80:26:44.9;Cep;0.47;;;;;;;;;;;;;;;;;;;;;;PN G117.5+18.9,IC 1454,PK 117+18 1,A55 67,A 81,ARO 376,VV' 568;
Abell 82;PN;23:45:47.48;+57:04:00.5;Cas;1.57;;;;;;;;;;;;;;;;;;;;;;PN G114.0-04.6,A 82,PK 114-04 1,A55 68,ARO 114,VV' 579;
Abell 83;PN;23:46:45.85;+54:44:39.8;Cas;0.78;;;;;;;;;;;;;;;;;;;;;;PN G113.6-06.9,A 83,PK 113-06 1,A55 69,ARO 385,VV' 580;
Abell 84;PN;23:47:44.88;+51:23:57.1;Cas;2.00;;;;;;;;;;;;;;;;;;;;;;PN G112.9-10.2,A 84,PK 112-10 1,A55 70,ARO 115,VV' 581;
Abell 85;PN;23:59:13.00;+62:26:12.0;Cas;;;;;;;;;;;;;;;;;;;;;;;PN A66 85;
Abell 86;PN;00:01:34.02;+70:42:41.7;Cep;1.05;;;;;;;;;;;;;;;;;;;;;;PN G118.7+08.2,A 86,PK 118+08 2,A55 73,ARO 245,VV' 584;
